sample_id,target_track_id,query_track_id,t_target,t_query,n_repetitions,estimated_tempo_ratio,target_instruments,query_interfering_instruments,sample_type,interpolation,comments
S001,T002,T001,0,0,19,1.03,drums/bass,other/vocals,riff,no, starts counted (sample ABCD looped ABCBCBCD). guitar in target
S002,T003,T004,0,0,4,0.95,bass/other,vocals/other,riff,no, intro. piano in target
S003,T003,T004,34,53,3,1.0,other/drums/bass,vocals/other/bass?,riff,no, refrain with horns
S004,T005,T006,0,37,60,1.0,drums,vocals/bass/other/drums?,beat,no, sample is 4 beats - sample runs 8th quaver to 8th quaver for cleaner separation of notes
S005,T007,T008,53,0,10,1.0,bass/drums/other,vocals,riff,no, (very clean: same pitch and only layer). full and partial repetitions. guitar in target. piano in target
S006,T010,T009,0,1,37,1.08,drums,vocals/other,beat,no, probably samples both bars (with two decks?). interfering guitar
S007,T011,T012,1,0,85,1.17,drums/other/vocals,vocals/drums/bass/other,riff,no, pitch shifted (sample a bit gated in the end). In ref track riff can either be interpreted as 1 bar long or 2 bars long - the two bars are exactly the same. but judging by the N repetitions = 37 as indicated in the original study I think the sample was originally interpreted as 1x 2-bar section. Given that the bars are exactly the same (at least to the listener) you could also assume one single bar is sampled. guitar in target
S008,T014,T013,74,5,10,1.05,other/bass/drums,vocals/drums/other/bass,riff,maybe, pitch shifted - beginning of riff counted (rest 'chopped')
S009,T015,T016,0,3,37,1.04,bass/other,other/vocals/drums,riff,yes, interpolation or other version. guitar in target
S010,T018,T017,0,0,1,1.0,drums/other,,riff,no, pitch shifted down - once at the start
S012,T021,T020,0,0,38,0.97,drums/bass/other,vocals/other,riff,maybe, time sampled unclear (0:00 or 2:25?)
S013,T023,T022,1,10,51,1.15,drums/other,vocals/drums/bass/other?,riff,maybe, piano in target. Same as S007 (2 bars are the same - previous study interprets as 2 bars)
S014,T025,T024,0,21,37,1.05,drums/bass/other,vocals/other/drums?,riff,no, pitch shifted up. piano in target
S015,T027,T026,5,12,38,1.02,other/drums/bass,vocals/drums/other,riff,no, pitch shifted. guitar in target
S016,T029,T028,0,37,50,1.03,bass/synth/other,drums/other/vocals/,riff,no, please note the sample is 8 quavers long but starts one quaver before the main bar and ends one quaver before the main bar ends - this is because the note heard in the sample corresponds to the note heard just before the main bar but not the one heard at the end of the main bar
S017,T031,T030,8,10,43,1.12,drums/bass/other,vocals/drums/other,riff,no, first half of loop
S018,T033,T032,1,18,217,1.0,drums/other,bass/vocals/other/drums,beat,probably not, (samples 2nd measure hence short and no melody). riff is only 2 beats repeated - used notes 2 and 3 because this was the cleanest way to get separation between the bass drum and snare because of fast rhythm starting and ending on a full beat rather than an offbeat
S019,T035,T034,40,10,48,1.0,drums/vocals/other/bass,drums/vocals/other,riff,no, (vocals). Original study considered it as 1-bar but I think it is 2-bar because the vocal note runs slightly into the second bar or every first occurrence of the sample - but is noticeably cut off on every second occurrence - so annotated both just in case
S020,T033,T036,0,2,33,1.0,drums/other/bass,other/vocals/drums,riff,no, 
